Date-month,High,Low,Precip
1-Jan,58,28,0.00
2-Jan,40,23,0.00
3-Jan,48,24,0.00
4-Jan,59,33,0.00
5-Jan,55,33,0.00
6-Jan,57,33,0.00
7-Jan,61,38,0.00
8-Jan,66,34,0.00
9-Jan,52,33,0.64
10-Jan,38,26,1.00
11-Jan,33,18,0.00
12-Jan,30,18,0.00
13-Jan,29,22,0.00
14-Jan,38,23,0.00
15-Jan,45,30,0.02
16-Jan,53,41,0.05
17-Jan,46,42,0.00
18-Jan,59,44,0.00
19-Jan,53,30,0.00
20-Jan,55,29,0.05
21-Jan,34,20,0.00
22-Jan,44,19,0.00
23-Jan,59,26,0.00
24-Jan,50,23,0.00
25-Jan,56,23,0.00
26-Jan,50,31,0.00
27-Jan,60,31,0.00
28-Jan,65,31,0.00
29-Jan,74,42,0.00
30-Jan,75,45,0.00
31-Jan,61,37,0.00
1-Feb,48,17,0.37
2-Feb,19,11,0.00
3-Feb,18,11,0.00
4-Feb,22,14,4.00
5-Feb,28,18,0.00
6-Feb,53,18,0.00
7-Feb,49,33,0.05
8-Feb,46,32,0.00
9-Feb,54,13,0.00
10-Feb,23,13,0.11
11-Feb,36,13,0.00
12-Feb,54,22,0.00
13-Feb,66,27,0.00
14-Feb,73,37,0.00
15-Feb,73,37,0.00
16-Feb,76,57,0.00
17-Feb,71,62,0.00
18-Feb,78,62,0.00
19-Feb,82,58,0.00
20-Feb,74,58,0.00
21-Feb,77,58,0.00
22-Feb,70,35,0.00
23-Feb,66,37,0.00
24-Feb,69,57,0.00
25-Feb,81,37,0.00
26-Feb,55,36,0.00
27-Feb,74,36,0.00
28-Feb,78,44,0.03
1-Mar,60,34,0.00
2-Mar,70,35,0.00
3-Mar,73,36,0.00
4-Mar,76,48,0.00
5-Mar,71,38,0.00
6-Mar,56,32,0.00
7-Mar,61,32,0.00
8-Mar,63,47,0.00
9-Mar,80,44,0.00
10-Mar,63,39,0.00
11-Mar,66,39,0.00
12-Mar,77,47,0.00
13-Mar,78,54,0.00
14-Mar,75,44,0.00
15-Mar,59,36,0.00
16-Mar,62,35,0.00
17-Mar,75,54,0.00
18-Mar,84,54,0.00
19-Mar,86,54,0.00
20-Mar,83,62,0.00
21-Mar,81,62,0.00
22-Mar,82,65,0.00
23-Mar,82,62,0.00
24-Mar,78,48,0.00
25-Mar,77,48,0.00
26-Mar,85,62,0.00
27-Mar,80,45,0.00
28-Mar,49,46,0.01
29-Mar,58,45,0.00
30-Mar,51,38,0.11
31-Mar,55,38,0.00
1-Apr,77,39,0.00
2-Apr,87,39,0.00
3-Apr,86,52,0.00
4-Apr,86,57,0.00
5-Apr,64,37,0.00
6-Apr,73,45,0.00
7-Apr,84,54,0.00
8-Apr,84,64,0.00
9-Apr,90,69,0.00
10-Apr,89,69,0.00
11-Apr,90,58,1.16
12-Apr,76,40,0.00
13-Apr,79,48,0.00
14-Apr,80,56,0.00
15-Apr,85,54,0.00
16-Apr,85,48,0.00
17-Apr,74,48,0.00
18-Apr,82,54,0.00
19-Apr,91,69,0.00
20-Apr,93,62,0.22
21-Apr,64,57,0.04
22-Apr,83,56,0.00
23-Apr,88,71,0.00
24-Apr,88,66,0.26
25-Apr,82,61,0.97
26-Apr,84,54,1.61
27-Apr,70,54,0.00
28-Apr,70,47,0.00
29-Apr,76,53,0.00
30-Apr,84,60,0.00
1-May,85,59,0.00
2-May,59,43,2.90
3-May,51,41,0.61
4-May,69,42,0.00
5-May,75,46,0.00
6-May,77,54,0.00
7-May,84,54,0.00
8-May,89,65,0.00
9-May,90,70,0.00
10-May,91,72,0.00
11-May,83,66,0.12
12-May,79,62,0.96
13-May,80,58,0.00
14-May,73,49,0.00
15-May,69,49,0.00
16-May,73,49,0.00
17-May,73,49,0.00
18-May,81,52,0.00
19-May,86,67,0.00
20-May,86,68,0.00
21-May,83,61,0.74
22-May,88,65,0.00
23-May,90,67,0.24
24-May,85,71,0.54
25-May,89,72,0.69
26-May,90,58,0.00
27-May,81,58,0.00
28-May,95,66,0.00
29-May,96,73,0.00
30-May,93,74,0.00
31-May,92,75,0.00
1-Jun,92,73,0.00
2-Jun,94,71,0.00
3-Jun,96,70,0.00
4-Jun,97,74,0.00
5-Jun,96,73,0.00
6-Jun,98,71,0.00
7-Jun,98,76,0.00
8-Jun,97,76,0.00
9-Jun,94,76,0.00
10-Jun,95,76,0.00
11-Jun,95,76,0.00
12-Jun,96,76,0.00
13-Jun,98,76,0.00
14-Jun,100,79,0.00
15-Jun,101,74,0.05
16-Jun,100,78,0.00
17-Jun,99,79,0.00
18-Jun,102,79,0.00
19-Jun,103,79,0.00
20-Jun,102,78,0.00
21-Jun,97,67,1.29
22-Jun,97,66,0.32
23-Jun,92,70,0.00
24-Jun,97,72,0.00
25-Jun,97,73,0.00
26-Jun,95,77,0.00
27-Jun,97,78,0.00
28-Jun,99,80,0.00
29-Jun,99,79,0.00
30-Jun,99,78,0.00
